Variable	Explanation
ID	unique participant ID (6 digits)
SEX	self-reported gender
LANG	language of correspondence
CLINIC	Recruitment clinic
DOB	date of birth
LBP_DURATION	"How long has low back pain been an ongoing problem for you? 1, less than one month | 2, 1-3 months | 3, 3-5 months | 4,  6-11 months | 5, 1-5 years | 6, more than 5 years "
LBP_FREQ	"How often has low back pain pain been an ongoing problem for you over the past 6 months? 1, every day… | 2, at least half the days… | 3, less than half the days…"
LBP_NRS	"In the past 7 days, how would you rate your lower back pain on average? (0-10 scale)"
LBP_RADIATING	"Has low-back pain spread down your leg(s) during the past 2 weeks? 1, Yes | 0, No | 88, Not sure"
PAIN_AB	"During the past 4 weeks, how much have you been bothered by stomach pain? 0, not at all | 1, a little | 2, a lot"
PAIN_LIMB	"During the past 4 weeks, how much have you been bothered by pain in your arms, legs, joints? 0, not at all | 1, a little | 2, a lot"
PAIN_HEAD	"During the past 4 weeks, how much have you been bothered by headaches? 0, not at all | 1, a little | 2, a lot"
PAIN_WIDESPREAD	"During the past 4 weeks, how much have you been bothered by widespread pain? 0, not at all | 1, a little | 2, a lot"
LB_SURGERY_EVER	"Have you ever had a low-back surgery? 1, Yes one surgery | 2, Yes more than one surgery | 0, No"
LB_SURGERY_WHEN	"When was your last low-back surgery? 1, Less than 6 months ago | 2, 6 months or more… | 3, Between 1 and 2 years ago | 4, More than 2 years ago"
LB_SURGERY_ARTHRODESIS	"Did any of your low-back surgeries involve a spinal fusion (also called an arthrodesis)? 1, Yes | 0, No | 88, Not sure"
Q9a	"In the past 7 days, how much did your low-back pain interfere with your day-to-day activities? 1, not at all | 2, a little | 3, somewhat | 4, quite a bit | 5, very much"
Q9b	"In the past 7 days, how much did your low-back pain interfere with work around the home (e.g., garden work, renovations)? 1, not at all | 2, a little | 3, somewhat | 4, quite a bit | 5, very much"
Q9c	"In the past 7 days, how much did your low-back pain interfere with your ability to participate in social activities? 1, not at all | 2, a little | 3, somewhat | 4, quite a bit | 5, very much"
Q9d	"In the past 7 days, how much did your low-back pain interfere with your household chores (e.g., house cleaning, vacuuming)? 1, not at all | 2, a little | 3, somewhat | 4, quite a bit | 5, very much"
SCORE_PROMIS_SF_PI_T	PROMIS Short Form v1.0 - Pain Interference t-score
PROMIS_SF_PI_SE	PROMIS Short Form v1.0 - Pain Interference standard error
OPIOIDS	"Have you used Opioids? 0, no | 1, yes, currently | 2, yes, in past | 88, not sure "
INJECTIONS	"Have you used injections/infilterations? 0, no | 1, yes, currently | 2, yes, in past | 88, not sure "
EXERCISE	"Have you used exercise therapy? 0, no | 1, yes, currently | 2, yes, in past | 88, not sure "
PSYCHO	"Have you used psychological counselling? 0, no | 1, yes, currently | 2, yes, in past | 88, not sure "
OTHER_RX	Have you used any other treatment?
LBP_UNEMPLOYED	"Have you been off work or unemployed for 1 or more months due to lower back pain? 0, no | 1, yes | 77, n/a "
LBP_COMPENSATION	"Have you applied for disability or worker’s compensation benefits because you were unable to work due to low back pain? 0, no | 1, yes | 77, n/a "
Q12a	"Are you able to do chores such as vacuuming or yard work? 1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do"
